"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PWQALPKP","journalArticle","2010","Hopper, Lydia M","‘Ghost’ experiments and the dissection of social learning in humans and animals","Biological Reviews","","1464-7931","https://doi.org/10.1111/j.1469-185X.2010.00120.x","https://doi.org/10.1111/j.1469-185X.2010.00120.x","The focus of this review is the experimental techniques used to identify forms of social learning shown by humans and nonhuman animals. Specifically, the ?ghost display? and ?end-state? conditions, which have been used to tease apart imitative and emulative learning are evaluated. In a ghost display, the movements of an apparatus are demonstrated, often through the discrete use of fishing-line or hidden mechanisms, without a live model acting directly upon the apparatus so that the apparatus appears to be operated as if by a ?ghostly? agent. In an end-state condition, an observing individual is shown the initial state of the test apparatus, the apparatus is then manipulated out-of-sight and then represented to the individual in its final state. The aim of the ghost display condition is to determine whether individuals are able to emulate by replicating the movements of an apparatus, or perform a task, without requiring information about the bodily movements required to do so (imitation). The end-state condition is used to identify goal-emulation by assessing whether the observer can replicate the steps required to solve the task without having been shown the required body actions or task movements. The responses of individuals tested with either the ghost display and/or end-state conditions are compared to those of further individuals who have observed a full demonstration by either a human experimenter or a conspecific. The responses of a control group, to whom no information has been provided about the test apparatus or required actions, are also compared and evaluated. The efficacy of these experimental techniques employed with humans, nonhuman primates, dogs, rats and birds are discussed and evaluated. The experiments reviewed herein emphasise the need to provide ghost displays and end-state conditions in combination, along with full live demonstrations and a no-information control. Future research directions are proposed.","2010-11-01","2024-04-13 13:37:53","2024-04-13 15:40:13","","685-701","","4","85","","","","","","","","","","","","","","","","","Publisher: John Wiley & Sons, Ltd","","","","","social learning; imitation; emulation; end-state condition; experimental technique; ghost condition; observational learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25A8QS9I","journalArticle","2016","Carr, Kayleigh; Kendal, Rachel L; Flynn, Emma G","Eureka!: What Is Innovation, How Does It Develop, and Who Does It?","Child Development","","0009-3920","https://doi.org/10.1111/cdev.12549","https://doi.org/10.1111/cdev.12549","Innovation is not only central to changes in traditional practice but arguably responsible for humanity's remarkable success at colonizing the earth and diversifying the products, technologies, and systems within it. Surprisingly little is known of how this integral component of behavioral flexibility develops and the factors that are responsible for individual differences therein. This review highlights two primary ways in which the process and development of innovation may be better understood: By emulating the critical advances of animal behavior researchers in examining innovation in nonhuman species and establishing a clearer conceptualization of what is ?innovation?. A pathway to innovation is suggested and an innovation classification system offered to aid recognition of its appearance and potential cultural contributions.","2016-09-01","2024-04-13 15:34:45","2024-04-28 10:20:52","","1505-1519","","5","87","","","","","","","","","","","","","","","","","Publisher: John Wiley & Sons, Ltd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85VUHX3W","journalArticle","2005","Horner, Victoria; Whiten, Andrew","Causal knowledge and imitation/emulation switching in chimpanzees (Pan troglodytes) and children (Homo sapiens)","Animal Cognition","","1435-9456","10.1007/s10071-004-0239-6","https://doi.org/10.1007/s10071-004-0239-6","This study explored whether the tendency of chimpanzees and children to use emulation or imitation to solve a tool-using task was a response to the availability of causal information. Young wild-born chimpanzees from an African sanctuary and 3- to 4-year-old children observed a human demonstrator use a tool to retrieve a reward from a puzzle-box. The demonstration involved both causally relevant and irrelevant actions, and the box was presented in each of two conditions: opaque and clear. In the opaque condition, causal information about the effect of the tool inside the box was not available, and hence it was impossible to differentiate between the relevant and irrelevant parts of the demonstration. However, in the clear condition causal information was available, and subjects could potentially determine which actions were necessary. When chimpanzees were presented with the opaque box, they reproduced both the relevant and irrelevant actions, thus imitating the overall structure of the task. When the box was presented in the clear condition they instead ignored the irrelevant actions in favour of a more efficient, emulative technique. These results suggest that emulation is the favoured strategy of chimpanzees when sufficient causal information is available. However, if such information is not available, chimpanzees are prone to employ a more comprehensive copy of an observed action. In contrast to the chimpanzees, children employed imitation to solve the task in both conditions, at the expense of efficiency. We suggest that the difference in performance of chimpanzees and children may be due to a greater susceptibility of children to cultural conventions, perhaps combined with a differential focus on the results, actions and goals of the demonstrator","2005","2024-04-13 15:36:08","2024-04-13 15:42:46","","164-181","","3","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCHIKSZE","bookSection","2002","Byrne, Richard W","Imitation of novel complex actions: What does the evidence from animals mean?","Advances in the Study of Behavior","0065-3454","","","https://www.sciencedirect.com/science/article/pii/S0065345402800067","Summary Underlying the various behaviors that are classified as imitation, there may be several distinct mechanisms, differing in adaptive function, cognitive basis, and computational power. Experiments reporting “true motor imitation” in animals do not as yet give evidence of production learning by imitation; instead, contextual imitation can explain their data, and this can be explained by a simple mechanism (response facilitation) which matches known neural findings. When imitation serves a function in social mimicry, which applies to a wide range of phenomena from neonatal imitation in humans and great apes to pair-bonding in some bird species, the fidelity of the behavioral match is crucial. Learning of novel behavior can potentially be achieved by matching the outcome of a model's action, and it is argued that vocal imitation by birds is a clear example of this method (which is sometimes called emulation). Alternatively, the behavior itself may be perceived in terms of actions that the observer can perform, and thus it may be copied. If the imitation is linear and stringlike (action level), following the surface form rather than the underlying plan, then its utility for learning new instrumental methods is limited. However, the underlying plan of hierarchically organized behavior is visible in output behavior, in subtle but detectable ways, and imitation could instead be based on this organization (program level), extracted automatically by string parsing. Currently, the most likely candidates for such capacities are all great apes. It is argued that this ability to perceive the underlying plan of action, in addition to allowing highly flexible imitation of novel instrumental methods, may have resulted in the competence to understand the intentions (theory of mind) of others.","2002","2024-04-13 15:38:24","2024-04-13 15:38:28","","77-105","","","31","","","","","","","","Academic Press","","","","","","","","","DOI: https://doi.org/10.1016/S0065-3454(02)80006-7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C45FKDJS","bookSection","2017","Vale, G L; Carr, K; Dean, L G; Kendal, R L","The Cultural Capacity of Human and Nonhuman Primates: Social Learning, Innovation, and Cumulative Cultural Evolution","Evolution of Nervous Systems (Second Edition)","978-0-12-804096-6","","","https://www.sciencedirect.com/science/article/pii/B9780128040423000956","Whether the foundations of nonhuman and human traditions are fundamentally similar, or whether they are different, has been the subject of heated debate even referred to as the animal “culture wars.” In this chapter we aim to explore the question of homology and analogy, between nonhuman and human culture, by examining what we mean by the term culture and whether, and to what extent, a number of core cultural components—innovation, social learning processes, transmission biases—are shared across the primate order. We end with the topic of cumulative culture—the ability to generate complex cultural traits by building upon existing behavior patterns, generation after generation—and explore whether nonhuman primates, such as humans, exhibit such cultural progress.","2017","2024-04-28 10:13:55","2024-04-28 10:14:10","","475-508","","","","","","","","","","","Academic Press","Oxford","","","","","","","","DOI: https://doi.org/10.1016/B978-0-12-804042-3.00095-6","","","","","Culture; Cultural evolution; Social learning; Innovation; Cumulative culture; Gene–culture coevolution; Ratcheting; Social learning strategies; Tradition; Transmission biases","Kaas, Jon H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLGXZ7CK","journalArticle","2019","Voigt, Babett; Pauen, Sabina; Bechtel-Kuehne, Sabrina","Getting the mouse out of the box: Tool innovation in preschoolers","Journal of Experimental Child Psychology","","0022-0965","https://doi.org/10.1016/j.jecp.2019.03.005","https://www.sciencedirect.com/science/article/pii/S002209651730749X","Following the literature, children younger than 8 years rarely innovate a tool. Theories on innovation and comparative research on tool manufacturing suggest that children’s performance may depend on the task context. The current study explored whether preschool children’s poor performance in past research could be attributed to short time limits and the required manufacturing method. In four experiments, 5-year-olds needed to retrieve a toy from a tube by manufacturing a novel tool and using it successfully. The type of potentially functional materials varied among the experiments. Cumulative innovation rate was analyzed after 1 and 10 min. The 5-year-olds rarely innovated if merely “reshape” (modifying the material’s shape) was offered as a potentially successful manufacturing method even when they had up to 10 min to complete the task (21%; Experiment 1). The vast majority of 5-year-olds succeeded if multiple manufacturing strategies were functional, but only if children had up to 10 min to complete the task (93%; Experiment 2). The innovation rate remained high if “detach” (separating material from a substrate) was not available (76%; Experiment 3) and if “subtract” (removing something from a material) was the only functional manufacturing method (71%; Experiment 4). Our findings suggest that even preschool-aged children are “good innovators” if (a) they have enough time and (b) manufacturing methods other than reshape can be used to solve the problem. However, they seem to struggle if (a) they have only 1 min to complete the task and (b) solving the task requires them to reshape a material.","2019","2024-04-28 10:15:30","2024-04-28 10:16:10","","65-81","","","184","","","","","","","","","","","","","","","","","","","","","","Time; Cognitive development; Creativity; Preschool children; Problem solving; Tool innovation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5MQERJCS","journalArticle","2021","Rawlings, Bruce; Legare, Cristine H","Toddlers, Tools, and Tech: The Cognitive Ontogenesis of Innovation","Trends in Cognitive Sciences","","1364-6613","https://doi.org/10.1016/j.tics.2020.10.006","https://www.sciencedirect.com/science/article/pii/S1364661320302527","The development of tool innovation presents a paradox. How do humans have such diverse and complex technology, ranging from smartphones to aircraft, and yet young children find even simple tool innovation challenges, such as fashioning a hook to retrieve a basket from a tube, remarkably difficult? We propose that the solution to this paradox is the cognitive ontogenesis of tool innovation. Using a common measure of children’s tool innovation, we describe how multiple cognitive mechanisms work in concert at each step of its process: recognizing the problem, generating appropriate solutions, and the social transmission of innovations. We discuss what the ontogeny of this skill tells us about cognitive and cultural evolution and provide recommendations for future research.","2021","2024-04-28 10:15:55","2024-04-28 10:16:08","","81-92","","1","25","","","","","","","","","","","","","","","","","","","","","","social learning; cumulative culture; causal reasoning; cognition; executive functioning; problem solving","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WGTYC4KZ","journalArticle","2011","Boyd, Robert; Richerson, Peter J; Henrich, Joseph","The cultural niche: Why social learning is essential for human adaptation","Proceedings of the National Academy of Sciences","","","10.1073/pnas.1100290108","https://doi.org/10.1073/pnas.1100290108","In the last 60,000 y humans have expanded across the globe and now occupy a wider range than any other terrestrial species. Our ability to successfully adapt to such a diverse range of habitats is often explained in terms of our cognitive ability. Humans have relatively bigger brains and more computing power than other animals, and this allows us to figure out how to live in a wide range of environments. Here we argue that humans may be smarter than other creatures, but none of us is nearly smart enough to acquire all of the information necessary to survive in any single habitat. In even the simplest foraging societies, people depend on a vast array of tools, detailed bodies of local knowledge, and complex social arrangements and often do not understand why these tools, beliefs, and behaviors are adaptive. We owe our success to our uniquely developed ability to learn from others. This capacity enables humans to gradually accumulate information across generations and develop well-adapted tools, beliefs, and practices that are too complex for any single individual to invent during their lifetime.","2011-06-28","2024-04-28 11:57:18","2024-04-28 11:57:26","","10918-10925","","supplement_2","108","","","","","","","","","","","","","","","","","Publisher: Proceedings of the National Academy of Sciences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XWH7LH75","journalArticle","2014","Cutting, Nicola; Apperly, Ian A; Chappell, Jackie; Beck, Sarah R","The puzzling difficulty of tool innovation: Why can’t children piece their knowledge together?","Journal of Experimental Child Psychology","","0022-0965","https://doi.org/10.1016/j.jecp.2013.11.010","https://www.sciencedirect.com/science/article/pii/S0022096513002476","Tool innovation—designing and making novel tools to solve tasks—is extremely difficult for young children. To discover why this might be, we highlighted different aspects of tool making to children aged 4 to 6years (N=110). Older children successfully innovated the means to make a hook after seeing the pre-made target tool only if they had a chance to manipulate the materials during a warm-up. Older children who had not manipulated the materials and all younger children performed at floor. We conclude that children’s difficulty is likely to be due to the ill-structured nature of tool innovation problems, in which components of a solution must be retrieved and coordinated. Older children struggled to bring to mind components of the solution but could coordinate them, whereas younger children could not coordinate components even when explicitly provided.","2014","2024-04-28 12:35:33","2024-04-28 12:35:36","","110-117","","","125","","","","","","","","","","","","","","","","","","","","","","Social learning; Innovation; Cognitive Development; Ill-structured problems; Problem Solving; Tools","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MJ3679UN","journalArticle","2013","Nielsen, Mark","Young Children's Imitative and Innovative Behaviour on the Floating Object Task","Infant and Child Development","","1522-7227","https://doi.org/10.1002/icd.1765","https://doi.org/10.1002/icd.1765","Past research has shown that children will copy the actions of adults with high fidelity, even actions that are obviously causally irrelevant to the modelled outcome. However, this phenomenon has always been documented in cases where a clear functional outcome has been brought about (e.g. getting a box open to retrieve a toy). Here, we demonstrate how young children will continue to adopt the precise actions shown to them by an adult even if the goal of the actions is not realized during modelling. A group of 4-year-old participants were presented with a toy lying at the bottom of a Perspex tube. Despite the availability of a bottle of water, and unlike the responses of a group of adults, few children spontaneously identified the solution of pouring the water into the tube to raise the toy up the tube where it could be reached. The majority did so, however, after seeing an adult demonstrate this approach. Critically, children copied the specific method of the adult, even when this involved the unnecessary steps of pouring from the bottle into a cup before pouring from the cup into the tube. These results highlight the value of overimitation to children growing up in a world filled with objects whose operating mechanisms are often hidden or unclear. Copyright ? 2012 John Wiley & Sons, Ltd.","2013-01-01","2024-04-28 12:36:24","2024-04-28 12:36:27","","44-52","","1","22","","","","","","","","","","","","","","","","","Publisher: John Wiley & Sons, Ltd","","","","","social learning; imitation; innovation; culture; tool use","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YYRKDSAL","journalArticle","1999","Takahasi, Kiyosi","Theoretical Aspects of the Mode of Transmission in Cultural Inheritance","Theoretical Population Biology","","0040-5809","https://doi.org/10.1006/tpbi.1998.1400","https://www.sciencedirect.com/science/article/pii/S0040580998914009","This study investigates how evolutionary factors interact to determine the relative importance of vertical versus nonvertical mode of transmission in cultural inheritance. Simple mathematical models are provided to study the joint evolution of two cultural characters, one determining the viability and the fertility of individuals, and the other determining the vertical transmission rate of the first trait. Ordinary local stability analyses indicate that intrademic processes should lead to a greater reliance on vertical cultural transmission. On the other hand, when newly arisen variants are adaptive and favored in biased cultural transmission, interdemic processes may lead to a decrease in vertical transmission. This is because biased nonvertical transmission may effectively propagate the adaptive variants, further increasing the average growth rate of the population. These results are verified under several distinct sets of assumptions. It is also inferred that the degree and intensity of transmission bias may be the important determinants of cultural processes.","1999","2024-04-29 09:43:04","2024-04-29 09:43:10","","208-225","","2","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CK8Q9XUZ","document","1996","Mendel, Gregor","Experiments in plant hybridization (1865)","","","","","","","1996","2024-05-02 10:26:18","2024-05-02 10:26:24","","","","","","","","","","","","","Electronic Scholarly Publishing Project","","","","","","","","","Pages: 3-47 Publication Title:  Meeting of the Brünn Natural History Society Place: Brünn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GM545Z6Y","journalArticle","2011","Danchin, Étienne; Charmantier, Anne; Champagne, Frances A; Mesoudi, Alex; Pujol, Benoit; Blanchet, Simon","Beyond DNA: integrating inclusive inheritance into an extended theory of evolution","Nature Reviews Genetics","","1471-0064","10.1038/nrg3028","https://doi.org/10.1038/nrg3028","An emerging idea in evolutionary biology is that inheritance implies more than the sole transmission of the DNA sequence across generations. Non-genetic inheritance of information across generations results from various processes that contribute to parent–offspring resemblance, a property that is called heritability.The concept of heritability has been generalized into that of inclusive heritability, which is the heredity of differences, including all forms of inheritance. It unifies genetic and non-genetic heritability into a single framework encompassing the multiple dimensions of inheritance. We briefly provide evidence for the four identified processes of non-genetic inheritance.Epigenetic changes in DNA expression result in epigenetic inheritance when they are transmitted across generations, thus contributing to the transgenerational transmission of phenotypic variation. Epigenetic changes are usually mediated by changes in environmental conditions. Examples include the inheritance of maternal behaviour in rodents or the inheritance of flower symmetry.Parental non-genetic effects can result in the inheritance of non-genetic information across generations, thus contributing to the non-genetic component of inclusive heritability. Examples include the inheritance of immunocompetence against given parasites in birds or flexible adaptation to the maternal light environment in plants.Ecological inheritance occurs when offspring inherit the habitat of their parents. This indicates that any modification of the environment that results from ancestral activity and that affects fitness will change subsequent selective pressures. Examples include the webs, nests, dams and burrows that numerous animal species create, but also the changes in atmospheric gases and soil nutrients brought about by bacteria and plant species.Culture is the part of phenotypic variance that is transmitted through social learning. Recent evidence suggests that cultural transmission is widespread among animals. Examples concern mate choice and species recognition. Cultural selection constitutes another engine of evolution when it interacts with natural selection in both animals and humans.Non-genetic inheritance can easily be confounded with genetic inheritance. It is the intricate network of genetic and non-genetic inheritance systems that produce parent–offspring resemblance, which constitutes the whole evolutionary potential of a trait quantified by inclusive heritability.We formally partition inclusive heritability and propose methods to disentangle its components in order to better integrate them into a comprehensive view of inheritance. We propose specific designs coupling field or experimental longitudinal data with animal model types of statistical tools.Such methods should help to unravel fascinating enigmas in evolution and medicine, such as major evolutionary transitions or the 'missing heritability' in the human genome.The time is ripe to broaden concepts of inheritance and heritability in order to fully grasp the richness of evolutionary processes, and we call for a multidimensional modern synthesis that would merge the current modern synthesis with an inclusive view of inheritance.","2011","2024-05-02 10:51:42","2024-05-02 10:51:48","","475-486","","7","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8VAB8T6K","journalArticle","2005","Mameli, Matteo","The Inheritance of Features","Biology and Philosophy","","1572-8404","10.1007/s10539-004-0560-0","https://doi.org/10.1007/s10539-004-0560-0","Since the discovery of the double helical structure of DNA, the standard account of the inheritance of features has been in terms of DNA-copying and DNA-transmission. This theory is just a version of the old theory according to which the inheritance of features is explained by the transfer at conception of some developmentally privileged material from parents to offspring. This paper does the following things: (1) it explains what the inheritance of features is; (2) it explains how the DNA-centric theory emerged; (3) it clarifies the relation between the DNA-centric theory and the ‘unfolding’ theory of development; (4) it argues that (given what we now know about developmental processes and genetic activity) the DNA-centric theory should be abandoned in favour of a pluralistic (but not holistic) theory of the inheritance of features. According to this pluralistic theory, the reliable reoccurrence of phenotypes must be explained by appealing not only to processes responsible for the reliable reoccurrence of genetic developmental factors but also to processes responsible for the reliable reoccurrence (or persistence) of nongenetic developmental factors.","2005","2024-05-02 10:52:20","2024-05-02 10:52:24","","365-399","","2","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HY6XYFR8","book","2013","Richerson, Peter J; Christiansen, Morten H","Cultural evolution: society, technology, language, and religion","","0-262-31829-6","","","","Over the past few decades, a growing body of research has emerged from a variety of disciplines to highlight the importance of cultural evolution in understanding human behavior. Wider application of these insights, however, has been hampered by traditional disciplinary boundaries. To remedy this, in this volume leading researchers from theoretical biology, developmental and cognitive psychology, linguistics, anthropology, sociology, religious studies, history, and economics come together to explore the central role of cultural evolution in different aspects of human endeavor. The contributors take as their guiding principle the idea that cultural evolution can provide an important integrating function across the various disciplines of the human sciences, as organic evolution does for biology. The benefits of adopting a cultural evolutionary perspective are demonstrated by contributions on social systems, technology, language, and religion. Topics covered include enforcement of norms in human groups, the neuroscience of technology, language diversity, and prosociality and religion. The contributors evaluate current research on cultural evolution and consider its broader theoretical and practical implications, synthesizing past and ongoing work and sketching a roadmap for future cross-disciplinary efforts.","2013","2024-05-06 18:44:04","2024-05-06 18:44:13","","","","","","","","","","","","","MIT Press","Cambridge, MA","","","","","","","","Series Title: Strungmann forum reports","","","","","BIOMEDICAL SCIENCES/Evolution; COGNITIVE SCIENCES/General; Human evolution -- Religious aspects; Social evolution; Technological innovations -- Social aspects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7GQJGDMV","book","2007","Barton, Nicholas H.; Briggs, Derek E. G.; Eisen, Jonathan A.; Goldstein, David B.; Patel, Nipam H.","Evolution","","","","","","","2007","2024-05-08 07:40:20","2024-05-08 07:43:43","","","","","","","","","","","","","Cold Spring Harbor Laboratory Press","New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G5EUYGBT","book","2013","Futuyma, Douglas J.","Evolution","","","","","","","2013","2024-05-08 07:42:30","2024-05-08 07:43:40","","","","","","","","","","","","","Sinauer Associates","Sunderland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3Y5ID9UU","journalArticle","2017","Whiten, Andrew","A second inheritance system: the extension of biology through culture","Interface Focus","","","10.1098/rsfs.2016.0142","https://doi.org/10.1098/rsfs.2016.0142","","2017-08-18","2024-05-08 07:43:32","2024-05-08 07:43:38","","20160142","","5","7","","","","","","","","","","","","","","","","","Publisher: Royal Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NE6PYVCF","journalArticle","2008","Caldwell, Christine A; Millen, Ailsa E","Studying cumulative cultural evolution in the laboratory","Philosophical Transactions of the Royal Society B: Biological Sciences","","","10.1098/rstb.2008.0133","https://doi.org/10.1098/rstb.2008.0133","","2008-09-17","2024-05-08 09:28:37","2024-05-08 09:29:25","","3529-3539","","1509","363","","","","","","","","","","","","","","","","","Publisher: Royal Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NSDJPPNV","journalArticle","2012","Dean, L. G.; Kendal, R. L.; Schapiro, S. J.; Thierry, B.; Laland, K. N.","Identification of the social and cognitive processes underlying human cumulative culture","Science (New York, N.Y.)","","1095-9203","10.1126/SCIENCE.1213969","https://pubmed.ncbi.nlm.nih.gov/22383851/","The remarkable ecological and demographic success of humanity is largely attributed to our capacity for cumulative culture, with knowledge and technology accumulating over time, yet the social and cognitive capabilities that have enabled cumulative culture remain unclear. In a comparative study of sequential problem solving, we provided groups of capuchin monkeys, chimpanzees, and children with an experimental puzzlebox that could be solved in three stages to retrieve rewards of increasing desirability. The success of the children, but not of the chimpanzees or capuchins, in reaching higher-level solutions was strongly associated with a package of sociocognitive processes - including teaching through verbal instruction, imitation, and prosociality - that were observed only in the children and covaried with performance.","2012-03-02","2024-05-08 09:39:57","2024-05-08 09:40:06","2024-05-08","1114-1118","","6072","335","","","","","","","","","","","","","","","","","PMID: 22383851 Publisher: Science","","/home/akc47/Zotero/storage/IENL3X72/full-text.pdf","","","Female; Humans; MEDLINE; National Center for Biotechnology Information; National Institutes of Health; National Library of Medicine; NCBI; NIH; NLM; Non-U.S. Gov't; PubMed Abstract; Research Support; Cognition; Animals; Comparative Study; Extramural; N.I.H.; Cultural Evolution*; Learning; Social Behavior*; Altruism; Cebus; Child; Communication; doi:10.1126/science.1213969; Imitative Behavior; Interpersonal Relations; K N Laland; L G Dean; Mental Processes*; Pan troglodytes; PMC4676561; pmid:22383851; Preschool; Problem Solving*; R L Kendal; Reward; Teaching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NMVIYFUT","journalArticle","2000","Griesemer, James","Development, Culture, and the Units of Inheritance","Philosophy of Science","","00318248, 1539767X","","http://www.jstor.org/stable/188680","[Developmental systems theory (DST) expands the unit of replication from genes to whole systems of developmental resources, which DST interprets in terms of cycling developmental processes. Expansion seems required by DST's argument against privileging genes in evolutionary and developmental explanations of organic traits. DST and the expanded replicator brook no distinction between biological and cultural evolution. However, by endorsing a single expanded unit of inheritance and leaving the classical molecular notion of gene intact, DST achieves only a nominal reunification of heredity and development. I argue that an alternative conceptualization of inheritance denies the classical opposition of genetics and development while avoiding the singularity inherent in the replicator concept. It also yields a new unit--the reproducer--which genuinely integrates genetic and developmental perspectives. The reproducer concept articulates the non-separability of ""genetic"" and ""developmental"" roles in units of heredity, development, and evolution. DST reformulated in terms of reproducers rather than replicators preserves an empirically interesting distinction between cultural and biological evolution.]","2000","2024-05-08 10:13:33","2024-05-08 10:13:35","","S348-S368","","","67","","","","","","","","","","","","","","","","","Publisher: [The University of Chicago Press, Philosophy of Science Association]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2Z6WIEXG","journalArticle","2011","Garland, Ellen C.; Goldizen, Anne W.; Rekdahl, Melinda L.; Constantine, Rochelle; Garrigue, Claire; Hauser, Nan Daeschler; Poole, M. Michael; Robbins, Jooke; Noad, Michael J.","Dynamic Horizontal Cultural Transmission of Humpback Whale Song at the Ocean Basin Scale","Current Biology","","0960-9822","https://doi.org/10.1016/j.cub.2011.03.019","https://www.sciencedirect.com/science/article/pii/S0960982211002910","Summary Cultural transmission, the social learning of information or behaviors from conspecifics [1, 2, 3, 4, 5], is believed to occur in a number of groups of animals, including primates [1, 6, 7, 8, 9], cetaceans [4, 10, 11], and birds [3, 12, 13]. Cultural traits can be passed vertically (from parents to offspring), obliquely (from the previous generation via a nonparent model to younger individuals), or horizontally (between unrelated individuals from similar age classes or within generations) [4]. Male humpback whales (Megaptera novaeangliae) have a highly stereotyped, repetitive, and progressively evolving vocal sexual display or “song” [14, 15, 16, 17] that functions in sexual selection (through mate attraction and/or male social sorting) [18, 19, 20]. All males within a population conform to the current version of the display (song type), and similarities may exist among the songs of populations within an ocean basin [16, 17, 21]. Here we present a striking pattern of horizontal transmission: multiple song types spread rapidly and repeatedly in a unidirectional manner, like cultural ripples, eastward through the populations in the western and central South Pacific over an 11-year period. This is the first documentation of a repeated, dynamic cultural change occurring across multiple populations at such a large geographic scale.","2011","2024-05-08 11:21:23","2024-05-08 11:21:27","","687-691","","8","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GUC93FV6","journalArticle","2011","Tervo, Outi M; Parks, Susan E; Christoffersen, Mads Fage; Miller, Lee A; Kristensen, Reinhardt Møbjerg","Annual changes in the winter song of bowhead whales (Balaena mysticetus) in Disko Bay, Western Greenland","Marine Mammal Science","","0824-0469","https://doi.org/10.1111/j.1748-7692.2010.00451.x","https://doi.org/10.1111/j.1748-7692.2010.00451.x","","2011-07-01","2024-05-08 11:26:06","2024-05-08 11:26:10","","E241-E252","","3","27","","","","","","","","","","","","","","","","","Publisher: John Wiley & Sons, Ltd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YR6IYYN2","book","2009","Shennan, Stephen","Pattern and process in cultural evolution","","","","","","","2009","2024-05-08 11:31:35","2024-05-08 11:32:18","","","","","","","","","","","","","University of California Press","Berkeley y Los Angeles","","","","","","","","","","","","","","Shennan, Stephen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZV2NGF8X","journalArticle","2017","Stubbersfield, Joseph M; Flynn, Emma G; Tehrani, Jamshid J","Cognitive Evolution and the Transmission of Popular Narratives: A Literature Review and Application to Urban Legends","","","","doi:10.26613/esic.1.1.20","https://doi.org/10.26613/esic.1.1.20","","2017","2024-05-09 09:22:46","2024-05-09 09:22:48","","121-136","","1","1","","","","","","","Evolutionary Studies in Imaginative Culture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
